Nippon Life India Asset Management Ltd. ,8.12
NLC India Ltd. ,0.49
NMDC Ltd. ,1.23
NOCIL Ltd. ,2.41
NTPC Ltd. ,0.77
Oberoi Realty Ltd. ,2.45
Oil India Ltd. ,0.45
Omaxe Ltd. ,0.93
Oil and Natural Gas Corporation Ltd. ,0.66
Oracle Financial Services Software Ltd. ,4.26
Orient Cement Ltd. ,0.00
Orient Refractories Ltd. ,6.67
Procter and Gamble Hygiene and Health Care Ltd. ,0.00
Page Industries Ltd. ,0.00
Persistent Systems Ltd. ,5.63
Petronet LNG Ltd. ,3.29
Pfizer Ltd. ,0.00
Phillips Carbon Black Ltd. ,1.98
Phoenix Mills Ltd. ,2.98
PI Industries Ltd. ,12.92
Pidilite Industries Ltd. ,19.44
Piramal Enterprises Ltd. ,1.40
Punjab National Bank ,0.65
PNB Housing Finance Ltd. ,0.81
PNC Infratech Ltd. ,2.77
Poly Medicure Ltd. ,12.63
Polycab India Ltd. ,5.13
Power Finance Corporation Ltd. ,0.68
Power Grid Corporation of India Ltd. ,1.79
Prestige Estates Projects Ltd. ,2.05
Prism Johnson Ltd. ,4.41
Procter & Gamble Health Ltd. ,0.00
PTC India Ltd. ,0.42
PVR Ltd. ,3.51
Quess Corp Ltd. ,4.37
Radico Khaitan Ltd. ,4.98
Rail Vikas Nigam Ltd. ,1.26
Rain Industries Ltd. ,0.92
Rajesh Exports Ltd. ,1.34
Rallis India Ltd. ,3.69
The Ramco Cements Ltd. ,4.63
Rashtriya Chemicals and Fertilisers Ltd. ,0.93
Ratnamani Metals and Tubes Ltd. ,4.72
Raymond Ltd. ,0.90
RBL Bank Ltd. ,1.25
REC Ltd. ,1.06
Redington (India) Ltd. ,1.41
Relaxo Footwears Ltd. ,0.00
Reliance Industries Ltd. ,2.82
Responsive Industries Ltd. ,4.36
RITES Ltd. ,2.16
S H Kelkar & Company Ltd. ,2.09
Steel Authority of India Ltd. ,0.65
Sanofi India Ltd. ,0.00
State Bank of India ,1.55
SBI Life Insurance Company Ltd. ,0.00
Schaeffler India  Ltd. ,0.00
